generic id,generic name,slug,monograph link,drug class,indication,indication description,dosage description,side effects description,overdose effects description,storage conditions description,reconstitution description
1292,Dasatinib,dasatinib-1292,https://medex.com.bd/attachments/sAm9z57hAuMuFvVk3JcRf4yroAmSrx/dasatinib-prescribing-information,Targeted Cancer Therapy,Chronic myeloid leukaemia,"dasatinib is indicated for the treatment of adults with

newly diagnosed philadelphia chromosomepositive ph chronic myeloid leukemia cml in chronic phase
chronic accelerated or myeloid or lymphoid blast phase ph cml with resistance or intolerance to prior therapy including imatinib  read moredasatinib is indicated for the treatment of adults with

newly diagnosed philadelphia chromosomepositive ph chronic myeloid leukemia cml in chronic phase
chronic accelerated or myeloid or lymphoid blast phase ph cml with resistance or intolerance to prior therapy including imatinib
philadelphia chromosomepositive acute lymphoblastic leukemia ph all with resistance or intolerance to prior therapy
","the recommended starting dosage of dasatinib for

chronic phase cml is 100 mg administered orally once daily
accelerated phase cml myeloid or lymphoid blast phase cml or ph all is 140 mg administered orally once daily

tablets should not be crushed or cut they should be swallowed whole dasatinib can be taken with or without a meal either in the morning or in the eveningin clinical studies treatment with dasatinib was continued until disease progression or until no longer tolerated by the patient the effect of stopping treatment on longterm disease outcome after the achievement of a cytogenetic response including complete cytogenetic response ccyr or major molecular response mmr is not known",reversible myelosuppression neutropenia anaemia thrombocytopenia fluid retention pulmonary arterial htn qt prolongation cardiac failure arrhythmias htn musculoskeletal pain gi disturbances headache chills fatigue asthenia myalgia chest pain arthralgia pyrexia mucositis flushing colitis electrolyte disturbances appetite and wt disturbances rash dermatitis hyperhidrosis pruritus acne,symptoms significant platelet count reduction management closely monitor for myelosuppression supportive and symptomatic treatment,dasatinib tablets should be stored at 20c to 25c,['chronic myeloid leukaemia dasatinib indicated treatment adult newly diagnosed philadelphia chromosomepositive ph chronic myeloid leukemia cml chronic phase chronic accelerated myeloid lymphoid blast phase ph cml resistance intolerance prior therapy including imatinib read moredasatinib indicated treatment adult newly diagnosed philadelphia chromosomepositive ph chronic myeloid leukemia cml chronic phase chronic accelerated myeloid lymphoid blast phase ph cml resistance intolerance prior therapy including imatinib philadelphia chromosomepositive acute lymphoblastic leukemia ph resistance intolerance prior therapy']
322,Darifenacin,darifenacin-322,https://medex.com.bd/attachments/DYTV0loB5FfD5I2fhguHv8983gZYfY/darifenacin-prescribing-information,BPH/ Urinary retention/ Urinary incontinence,Urinary frequency and urgency,darifenacin is indicated for the treatment of overactive bladder with symptoms of urge urinary incontinence urgency and frequency,darifenacin 75 mg once daily may increase dose to 15 mg once daily if no adequate response after 2 wk of therapy darifenacin should be taken with liquid it can be taken with or without food and should be swallowed whole and not chewed divided or crushedfor patients with moderate hepatic impairment or when coadministered with potent cyp3a4 inhibitors eg ketoconazole itraconazole ritonavir nelfinavir clarithromycin and nefazadone the daily dose of darifenacin should not exceed 75 mg,the most common side effects are dry mouth  constipation other less commonly reported side effects include abnormal vision back pain dry skin hypertension vomiting peripheral edema weight gain arthralgia bronchitis pharyngitis rhinitis sinusitis rash pruritus urinary tract disorder and vaginitis,overdosage with antimuscarinic agents can result in severe antimuscarinic effects ecg monitoring is recommended when event of overdosage is occurred darifenacin has been administered in clinical trials at doses up to 75 mg five times the maximum therapeutic dose and signs of overdose were limited to abnormal vision,store at 25 c protect from light,['urinary frequency urgency darifenacin indicated treatment overactive bladder symptom urge urinary incontinence urgency frequency']
1376,Darbepoetin Alfa,darbepoetin-alfa-1376,https://medex.com.bd/attachments/zAItmCFBIO8xnE1JAo4mz7vkJqFyw5/darbepoetin-alfa-prescribing-information,Haematopoietic Agents,Anaemia,anemia due to chronic kidney disease darbepoetin alfa is indicated for the treatment of anemia due to chronic kidney disease ckd including patients on dialysis and patients not on dialysisanemia due to chemotherapy in patients with cancer  read moreanemia due to chronic kidney disease darbepoetin alfa is indicated for the treatment of anemia due to chronic kidney disease ckd including patients on dialysis and patients not on dialysisanemia due to chemotherapy in patients with cancer darbepoetin alfa is indicated for the treatment of anemia in patients with nonmyeloid malignancies where anemia is due to the effect of concomitant myelosuppressive chemotherapy and upon initiation there is a minimum of two additional months of planned chemotherapy,"usual adult dose for anemia associated with chronic renal failure
chronic kidney disease ckd patients not on dialysis

initial dose 045 mcgkg iv or subcutaneously once every 4 weeks as appropriate
comments initiate treatment only when hemoglobin is less than 10 gdl rate of hemoglobin decline indicates likelihood of requiring rbc transfusion and reducing risk of alloimmunization andor other rbc transfusionrelated risks is a goal

ckd patients on dialysis

initial dose 045 mcgkg iv or subcutaneously once a week or 075 mcgkg once every 2 weeks as appropriate
comments initiate treatment when hemoglobin is less than 10 gdl iv route is recommended for patients on hemodialysis


usual adult dose for anemia associated with chemotherapy

initial dose 225 mcgkg subcutaneously once a week or 500 mcg subcutaneously once every 3 weeks
duration of therapy until completion of chemotherapy course
comments initiate treatment if hemoglobin is less than 10 gdl and a minimum of 2 additional months of chemotherapy is planned use the lowest dose necessary to avoid rbc transfusions
use treatment of anemia in patients with nonmyeloid malignancies where anemia is due to the effect of concomitant myelosuppressive chemotherapy
",increased mortality myocardial infarction stroke and thromboembolism increased mortality andor increased risk of tumor progression or recurrence in patients with cancer hypertension seizures serious allergic reaction severe cutaneous reactions,darbepoetin overdosage can cause hemoglobin levels above the desired level which should be managed with discontinuation or reduction of darbepoetin dosage andor with phlebotomy as clinically indicated cases of severe hypertension have been observed following overdose with esas,store at 2c to 8c do not freeze do not shake protect from light store darbepoetin alfa in the carton until use do not use darbepoetin alfa that has been shaken or frozen,['anaemia anemia due chronic kidney disease darbepoetin alfa indicated treatment anemia due chronic kidney disease ckd including patient dialysis patient dialysisanemia due chemotherapy patient cancer read moreanemia due chronic kidney disease darbepoetin alfa indicated treatment anemia due chronic kidney disease ckd including patient dialysis patient dialysisanemia due chemotherapy patient cancer darbepoetin alfa indicated treatment anemia patient nonmyeloid malignancy anemia due effect concomitant myelosuppressive chemotherapy upon initiation minimum two additional month planned chemotherapy']
1550,Dapsone,dapsone-1550,https://medex.com.bd/attachments/tWfuNQMffb0J1ZkgHzFa3Qkfl8qbal/dapsone-prescribing-information,Acne treatment preparations,Acne vulgaris,dapsone is indicated for the topical treatment of acne vulgaris in patients 12 years of age and older,after the skin is gently washed and patted dry apply approximately a peasized amount of dapsone in a thin layer to the entire face once daily in addition a thin layer may be applied to other afected areas once daily rub in dapsone gently and completely if there is no improvement after 12 weeks treatment with dapsone should be reassessed not for oral ophthalmic or intravaginal use,most common incidence  09 effects are application site dryness and pruritus,not available,store in a cool  dry place keep out of reach of children do not freeze,['acne vulgaris dapsone indicated topical treatment acne vulgaris patient 12 year age older']
320,Dapoxetine Hydrochloride,dapoxetine-hydrochloride-320,https://medex.com.bd/attachments/rhBMHKIVy3W1gLABOK5kjHWRGq8P0y/dapoxetine-hydrochloride-prescribing-information,Drugs for Erectile Dysfunction,Premature ejaculation,"indicated for the treatment of premature ejaculation pe in men 18 to 64 years of age who have all of the following 

persistent or recurrent ejaculation with minimal sexual stimulation before on or shortly after penetration and before the patient wishes
marked personal distress or interpersonal difficulty as a consequence of pe and poor control over ejaculation
",adult 18 to 64 years of age the recommended starting dose for all patients is 30 mg taken as needed approximately 1 to 3 hours prior to sexual activity if the effect of 30 mg is insufficient and the side effects are acceptable the dose may be increased to the maximum recommended dose of 60 mg the maximum recommended dosing frequency is one dose every 24 hours,dizziness headache somnolence tremor blurred vision tinnitus sinus congestion nausea diarrhea abdominal pain dry mouth fatigue insomnia hypertension,there were no unexpected adverse events in a clinical pharmacology study of dapoxetine with daily doses up to 240 mg in general symptoms of overdose with ssris include serotoninmediated adverse reactions such as somnolence gastrointestinal disturbances such as nausea and vomiting tachycardia tremor agitation and dizziness in cases of overdose standard supportive measures should be adopted as required,store below 30c protect from light and moisture keep out of reach of children,['premature ejaculation indicated treatment premature ejaculation pe men 18 64 year age following persistent recurrent ejaculation minimal sexual stimulation shortly penetration patient wish marked personal distress interpersonal difficulty consequence pe poor control ejaculation']
339,Dapagliflozin Propanediol,dapagliflozin-propanediol-339,https://medex.com.bd/attachments/cEXycbeMH7dMoK0KbtN7KypzftiYQb/dapagliflozin-propanediol-prescribing-information,Sodium-glucose Cotransporter-2 (SGLT2) Inhibitors,Type 2 DM,dapagliflozin is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus,5 mg orally once a day may increase to 10 mg orally once a day in patients tolerating therapy with 5 mg and requiring additional glycemic control,renal impairment female genital mycotic infections urinary tract infection increased urination male genital mycotic infections dyslipidemia constipation discomfort with urination extremity pain volume depletion hypersensitivity,not available,not available,['type 2 dm dapagliflozin indicated adjunct diet exercise improve glycemic control adult type 2 diabetes mellitus']
319,Dantrolene Sodium,dantrolene-sodium-319,https://medex.com.bd/attachments/VYDCnWcwtq8dBjKIsHtChglAwC6TEG/dantrolene-sodium-capsules-prescribing-information,Centrally acting Skeletal Muscle Relaxants,Stroke,"in chronic spasticity dantrolene is indicated in controlling the manifestations of clinical spasticity resulting from upper motor neuronal disorders eg spinal cord injury stroke cerebral palsy or multiple sclerosis it is of particular benefit to the patients whose functional  read morein chronic spasticity dantrolene is indicated in controlling the manifestations of clinical spasticity resulting from upper motor neuronal disorders eg spinal cord injury stroke cerebral palsy or multiple sclerosis it is of particular benefit to the patients whose functional rehabilitation has been retarded by the sequelae of spasticity such patients must have presumably reversible spasticity where relief of spasticity will aid in restoring residual function dantrolene is not indicated in the treatment of skeletal muscle spasm resulting from rheumatic disorders occasionally subtle but meaningful improvement in spasticity may occur with dantrolene therapy in such instances information regarding improvement should be solicited from the patient brief withdrawal of dantrolene for a period of 2 to 4 days will frequently demonstrate exacerbation of the manifestations of spasticity and may serve to confirm a clinical impressiona decision to continue the administration of dantrolene on a longterm basis is justified if introduction of the drug into the patients regimen

produces a significant reduction in painful andor disabling spasticity such as clonus or
permits a significant reduction in the intensity andor degree of nursing care required or
rids the patient of any annoying manifestation of spasticity considered important by the patient himself

in malignant hyperthermia oral dantrolene is also indicated preoperatively to prevent or attenuate the development of signs of malignant hyperthermia in known or strongly suspect malignant hyperthermia susceptible patients who require anesthesia andor surgery oral dantrolene should be administered following a malignant hyperthermic crisis to prevent recurrence of the signs of malignant hyperthermia","for use in chronic spasticity 

adults the following gradual titration schedule is suggested some patients will not respond until higher daily dosage is achieved each dosage level should be maintained for seven days to determine the patients response if no further benefit is observed at the next higher dose dosage should be decreased to the previous lower dose
starting dose is 25 mg twice per day and it can be increased to 2550 mg per day per week maximum accepted dosage is 400 mg per day
paediatric patients the following gradual titration schedule is suggested some patients will not respond until higher daily dosage is achieved each dosage level should be maintained for seven days to determine the patients response if no further benefit is observed at the next higher dose dosage should be decreased to the previous lower dose
05 mgkg once daily for seven days then 05 mgkg 3 times for 7 days 1 mgkg 3 times for 7 days 2 mgkg 3 times a day therapy with a dose 4 times daily may be necessary for some individuals

for malignant hyperthermia

preoperatively administer 4 to 8 mgkgday of oral dantrolene in 3 or 4 divided doses for one or two days prior to surgery with the last dose being given approximately 3 to 4 hours before scheduled surgery with a minimum of water
post crisis followup oral dantrolene should also be administered following a malignant hyperthermia crisis in doses of 4 to 8 mgkg per day in four divided doses for a one to three day period to prevent recurrence of the manifestations of malignant hyperthermia
",the most frequently occurring side effects of dantrolene have been drowsiness dizziness weakness general malaise fatigue and diarrhea these are generally transient occurring early in treatment and can often be obviated by beginning with a low dose and increasing dosage gradually until an optimal regimen is established diarrhea may be severe and may necessitate temporary withdrawal of dantrolene therapy if diarrhea recurs upon readministration of dantrolene therapy should probably be withdrawn permanently,not available,store in a cool  dry place protected from light,['stroke chronic spasticity dantrolene indicated controlling manifestation clinical spasticity resulting upper motor neuronal disorder eg spinal cord injury stroke cerebral palsy multiple sclerosis particular benefit patient whose functional read morein chronic spasticity dantrolene indicated controlling manifestation clinical spasticity resulting upper motor neuronal disorder eg spinal cord injury stroke cerebral palsy multiple sclerosis particular benefit patient whose functional rehabilitation retarded sequela spasticity patient must presumably reversible spasticity relief spasticity aid restoring residual function dantrolene indicated treatment skeletal muscle spasm resulting rheumatic disorder occasionally subtle meaningful improvement spasticity may occur dantrolene therapy instance information regarding improvement solicited patient brief withdrawal dantrolene period 2 4 day frequently demonstrate exacerbation manifestation spasticity may serve confirm clinical impressiona decision continue administration dantrolene longterm basis justified introduction drug patient regimen produce significant reduction painful andor disabling spasticity clonus permit significant reduction intensity andor degree nursing care required rids patient annoying manifestation spasticity considered important patient malignant hyperthermia oral dantrolene also indicated preoperatively prevent attenuate development sign malignant hyperthermia known strongly suspect malignant hyperthermia susceptible patient require anesthesia andor surgery oral dantrolene administered following malignant hyperthermic crisis prevent recurrence sign malignant hyperthermia']
318,Danazol,danazol-318,https://medex.com.bd/attachments/tlXQzIN7mr8CyizMKZEwRhJ2PKsJxX/danazol-prescribing-information,Drugs affecting (inhibiting) gonadotrophin,Uterine fibroids,"danazol is indicated for the following treatment

endometriosis
benign breast disease
menorrhagia
gynecomastia
preoperative thinning of the endometrium before hysteroscopic endometrial ablation
","preoperative thinning of the endometrium

adult 400800 mg daily in up to 4 divided doses for 36 week

benign breast disorders

adult initially 100400 mg daily in 2 divided doses adjusted according to response and continued for 36 month

hereditary angioedema

adult initially 200 mg bidtid reduced thereafter according to patients response

endometriosis

adult 200800 mg daily in 2 divided doses adjusted according to response for 36 month or if necessary up to 9 month

menorrhagia

adult 200 mg once daily review treatment 3 month later

gynaecomastia

adult male adolescents initially 200 mg daily may increase to 400 mg daily after 2 month if no response occurs adult men initial 400 mg daily in up to 4 divided doses usual treatment duration 6 month
child male adolescents initially 200 mg daily increased to 400 mg after 2 month if no response occurs treatment usually up to 6 months
",oedema weight gain sweating acne hirsutism flushing oily skin or hair deepening of the voice clitoral hypertrophy amenorrhoea hepatic dysfunction cns or gi disturbances benign intracranial hypertension reduction in breast size visual disturbances elevated lft values,there have been no incidents of acute overdosage with danazol and it is unlikely that any immediate serious reaction will be seen from a single excessive dose in case of the acute overdosage the drug should be removed by gastric lavage and the patient should be kept under observation,store at 1530c,['uterine fibroid danazol indicated following treatment endometriosis benign breast disease menorrhagia gynecomastia preoperative thinning endometrium hysteroscopic endometrial ablation']
317,Dalteparin Sodium,dalteparin-sodium-317,https://medex.com.bd/attachments/GNLCe9cSFdfzODBQoKgaTmbDtApzfH/dalteparin-sodium-prescribing-information,Parenteral anti-coagulants,Unstable angina,prophylaxis of clotting in extracorporeal circulation in haemodialysis or haemofiltration prophylaxis of clotting in extracorporeal circulation in haemodialysis or haemofiltration unstable angina prophylaxis of venous thromboembolism during surgical procedures venous thromboembolism,"intravenous

prophylaxis of clotting in extracorporeal circulation in haemodialysis or haemofiltration 3040 ukg iv inj then 1015 ukghr as iv infusion

subcutaneous

venous thromboembolism 200 ukgday as a single or in 2 divided doses in pregnant and highrisk patients max 18000 uday
prophylaxis of venous thromboembolism during surgical procedures moderate risk 2500 u given 12 hr preop then 2500 u once daily for 57 days or until the patient is fully ambulant high risk 2500 u given 12 hr before and 812 hr after the procedure then 5000 u daily
unstable angina 120 ukg 12 hrly continued for 58 days w lowdose aspirin max 10000 u 12 hrly
",elevated serum transaminase levels ast and alt allergic reactions eg pruritus rash fever inj site reaction bullous eruption pain on inj site epidural or spinal haematomas that may result in permanent paralysis severe haemorrhage thrombocytopenia,symptoms haemorrhagic complications management administer protamine sulfate by slow iv inj at a dose of 1 mg for every 100 antixa u of dalteparin na given,store between 2025c,['unstable angina prophylaxis clotting extracorporeal circulation haemodialysis haemofiltration prophylaxis clotting extracorporeal circulation haemodialysis haemofiltration unstable angina prophylaxis venous thromboembolism surgical procedure venous thromboembolism']
346,Dextromethorphan + Pseudoephedrine + Triprolidine,dextromethorphan-pseudoephedrine-triprolidine-346,https://medex.com.bd/attachments/1PZlhA3ef5V9m9qoUap9USGaIhUKrA/dextromethorphan-pseudoephedrine-triprolidine-prescribing-information,Combined cough suppressants,Non-productive cough,"this preparation temporarily relieves these symptoms due to common cold hay fever allergic rhinitis or other upper respiratory allergies

nonproductive cough due to minor throat or bronchial irritation
runny nose
sneezing
itching of the nose or throat
itchy  watery eyes
nasal congestion
",adults  children over 12 years 1 teaspoonful 5 ml 4 times a day every 4 hours interval612 years 12 teaspoonful 4 times a day every 4 hours intervaluse in children and adolescents a physicians advice should be obtained before administering this combination to children less than 6 years,it may cause drowsiness and constipation other side effects that may occur include git discomfort no apparent evidence of physical dependence of the morphine type,in cases of over dosage hospital admission is strongly advised over dosage may produce respiratory depression paranoid psychosis delusions hallucinations and convulsion,store in a cool and dry place below 30c temperature away from light keep out of the reach of children,['non productive cough preparation temporarily relief symptom due common cold hay fever allergic rhinitis upper respiratory allergy nonproductive cough due minor throat bronchial irritation runny nose sneezing itching nose throat itchy watery eye nasal congestion']
1303,Dextromethorphan + Phenylephrine + Triprolidine,dextromethorphan-phenylephrine-triprolidine-1303,https://medex.com.bd/attachments/pZLzdpFGtfjHc9EAvkPTP6yYP8Pv6L/dextromethorphan-phenylephrine-triprolidine-prescribing-information,Combined cough suppressants,Sneezing,"temporarily relieves these symptoms due to common cold hay fever allergic rhinitis or other upper respiratory allergies

cough due to minor throat or bronchial irritation
runny nose
sneezing
itching of the nose or throat
itchy watery eyes
nasal congestion
reduces swelling of nasal passages
",adults  children 12 years of age and older 1 teaspoonful 5 ml every 4 hours or as directed by a doctorchildren 6 to under 12 years of age  teaspoonful 25 ml every 4 hours or as directed by a doctorchildren below 2 years old not to be used in children below 2 years old to be used with caution and as advised by the physician for children age 2 to 6 years,it may cause drowsiness dottiness and constipation other side effects that may occur include git discomfort no apparent evidence of physical dependence of the morphine type other less common side effects may include transient hypertension dry mouth restlessness palpitations allergic reactions such as rashes tightness of chest thickening of bronchial secretions toxic psychosis and blood dyscrasia,in cases of over dosage hospital admission is strongly advised over dosage may produce respiratory depression paranoid psychosis delusions hallucinations and convulsion treatment should include emptying the stomach by aspiration or gastric lavage nervous stimulation and convulsions should be treated with a sedative such as diazepam intramuscularly if marked excitation is present a sedative such as diazepam or a shortacting barbiturate may be givensevere over dosage of phenylephrine hydrochloride may produce hypertension and associated reflex bradycardia treatment measures include early gastric lavage and symptomatic and supportive measures the hypertensive effects may be treated with an alphareceptor blocking agent such as phentolamine mesilate 610 mg given intravenously and the bradycardia treated with atropine preferable only after the pressure has been controlled,keep out of the reach of children keep in a cool  dry place protect from light,['sneezing temporarily relief symptom due common cold hay fever allergic rhinitis upper respiratory allergy cough due minor throat bronchial irritation runny nose sneezing itching nose throat itchy watery eye nasal congestion reduces swelling nasal passage']
348,Dextran + Sodium Chloride,dextran-sodium-chloride-348,not available,Plasma expanders,Venous thrombosis,this is indicated in aid in hysteroscopy thromboembolic disorders prophylaxis of pulmonary embolism or venous thrombosis in moderate to highrisk patients undergoing surgery prophylaxis of postoperative thromboembolic disorders hypovolaemic shock,"intrauterineaid in hysteroscopy

adult as dextran 70 50100 ml of a 32 solution instilled into the uterus as a rinsing and dilatation fluid

intravenousthromboembolic disorders

adult as dextran 40 initially 500 ml of a 10 solution in sodium chloride 09 or glucose 5 infused over 46 hr followed by 500 ml infused over 46 hr on the next and subsequent alternate days for not more than 10 days
child as dextran 40 up to 5 mlkg in infants and 10 mlkg in children

intravenousprophylaxis of pulmonary embolism or venous thrombosis in moderate to highrisk patients undergoing surgery

adult as dextran 70 initially 5001000 ml of a 6 solution in sodium chloride 09 or glucose 5 infused over 46 hr during or immediately after surgery followed by 500 ml on the next day and on subsequent alternate days for up to 2 wk after surgery in highrisk patients

intravenousprophylaxis of postoperative thromboembolic disorders

adult as dextran 40 500 ml of a 10 solution in sodium chloride 09 or glucose 5 infused over 46 hr during or at the end of the surgery dose may be repeated the following day and treatment may be continued on alternate days for up to 10 days in highrisk patient
child as dextran 40 up to 10 mlkg in children

intravenoushypovolaemic shock

adult as dextran 40 initially 10 mlkg given by rapid infusion as a 10 solution in sodium chloride 09 or glucose 5 doses may be given daily for up to 5 days as dextran 70 initially 5001000 ml of a 6 solution in sodium chloride 09 or glucose 5 infused at a rate of 2040 mlmin maintenance 10 mlkgday for3 days dextran 70
",gi disturbances headache dizziness allergic reactions raised liver enzyme values alopecia bone marrow suppression,not available,store at 25c,['venous thrombosis indicated aid hysteroscopy thromboembolic disorder prophylaxis pulmonary embolism venous thrombosis moderate highrisk patient undergoing surgery prophylaxis postoperative thromboembolic disorder hypovolaemic shock']
345,Dextran + Hypromellose,dextran-hypromellose-345,https://medex.com.bd/attachments/0CqtKijflPg5cX73jfRwcCDk5sgi7v/dextran-hypromellose-prescribing-information,Drugs for Dry eyes,Dry eye,as a lubricant and artificial tear in dry eye and other ocular irritation syndromes associated with deficient tear or mucous secretion this combination also prevents cornea to damage in patients with keratoconjunctivitis and for ocular lubrication it is also used for the temporary relief of burning and irritation due to dryness of the eye and for use as the protectant against further irritation,adults and children one or two drops three times daily or as directed by the physician,there are no known side effects with the use of it however if the patient experiences any reaction in eye or other part of the body after using this medication then consult with doctor,not available,store below 25c and do not freeze do not use after 30 days of first opening keep the container closed tightly after each opening keep out of the reach of children,['dry eye lubricant artificial tear dry eye ocular irritation syndrome associated deficient tear mucous secretion combination also prevents cornea damage patient keratoconjunctivitis ocular lubrication also used temporary relief burning irritation due dryness eye use protectant irritation']
349,Dextran + Dextrose,dextran-dextrose-349,https://medex.com.bd/attachments/FuKbZk2TryZUXa1EajxFobQYFQU0v4/dextran-dextrose-prescribing-information,Plasma expanders,Venous thrombosis,this is indicated in thromboembolic disorders hypovolaemic shock pulmonary embolism venous thrombosis,"adult iv hypovolaemic shock as dextran 40 10 soln 10 mlkgday for up to 5 daysthromboembolic disorders 

as dextran 40 10 soln initial 500 ml on day 1 followed by 500 ml on day 2 and subsequently on alternate days up to 10 days prophylaxis of postop thromboembolic disorders 500 ml during or at the end of surgery may repeat dose next day and continue treatment on alternate days for up to 10 days in highrisk patients

child as dextran 40 up to 5 mlkg in infants and 10 mlkg in children",congestive heart failure mild hypotension tightness of chest thrombocytopenia anaphylaxis injection site infectionphlebitis acute renal failure acidosis if naci soln used pulmonary edema wheezing,not available,not available,['venous thrombosis indicated thromboembolic disorder hypovolaemic shock pulmonary embolism venous thrombosis']
1565,Dexpanthenol,dexpanthenol-1565,not available,Miscellaneous topical agents,Scaly or itchy scalps,"dexpanthenol is indicated in

for prevention and treatment of diaper rash in infants
for prevention and treatment of cracked or sore nipples in nursing women
for prevention and treatment of chafed cracked or split skin
for treatment of light skin wounds and dry skin
","check with the doctor or pharmacist if you are unsure how to use dexpanthenolthe usual dosage is generally

diaper rash apply a thin layer on the babys bottom at every diaper change
nipples apply a thin layer on the nipples after each nursing session wash the nipples thoroughly before the next nursing session
drycracked skin or light wounds and chafed skin apply to the dry areas andor to the wound up to 3 times a day

do not exceed the recommended dose do not swallow this medicine is intended for external use only",as with any medicine use of dexpanthenol may cause side effects in some users do not be alarmed by the list of side effects you may not suffer from any of them discontinue use and refer to a doctor immediately in the event of allergic reaction andor allergic skin reaction such as atopic dermatitis allergic dermatitis pruritus redness rash eczema urticaria local irritation or blistering if a side effect occurs worsens or if you suffer from a side effect not mentioned in this leaflet consult with the doctor,not available,do not store above 30 degree celsius keep away from light and out of the reach of children,['scaly itchy scalp dexpanthenol indicated prevention treatment diaper rash infant prevention treatment cracked sore nipple nursing woman prevention treatment chafed cracked split skin treatment light skin wound dry skin']
1403,Dexmedetomidine Hydrochloride,dexmedetomidine-hydrochloride-1403,https://medex.com.bd/attachments/kZsGt3v4FyrjkmabL1BgCNYSzMlGxI/dexmedetomidine-hydrochloride-prescribing-information,Miscellaneous sedatives & hypnotics,Sedation,dexmedetomidine hydrochloride injection is a central alpha2 adrenergic agonist indicated for sedation of nonintubated patients prior to andor during surgical and other procedures,"dilute in 09 sodium chloride injection to concentration of 4 mcgml prior to administrationto be administered only by health care providers skilled in the management of patients in the operating room settingadminister intravenously using a controlled infusion device administration duration should not exceed 24 hourscontinuously monitor blood pressure heart rate and oxygen levels during administration and as clinically appropriate after discontinuationinitiation of procedural sedation

more invasive procedures or awake fiberoptic intubation 1 mcgkg over 10 minutes
less invasive procedures such as ophthalmic surgery 05 mcgkg over 10 minutes

maintenance of procedural sedation

all procedures except awake fiberoptic intubation generally initiate at 06 mcgkghour and titrate to achieve desired clinical effect with dosages ranging from 02 to 1 mcgkghour 
awake fiberoptic intubation administer 07 mcgkghour until the endotracheal tube is secured 
",the most common adverse reactions incidence greater than 10 were hypotension respiratory depression and bradycardia,not available,not available,['sedation dexmedetomidine hydrochloride injection central alpha2 adrenergic agonist indicated sedation nonintubated patient prior andor surgical procedure']
344,Dexlansoprazole,dexlansoprazole-344,https://medex.com.bd/attachments/34dyT7NJ5y8lfz7bOdgucc0IO8PBOT/dexlansoprazole-prescribing-information,Proton Pump Inhibitor,Oesophagitis,healing of erosive esophagitis dexlansoprazole is indicated for the healing of all grades of erosive esophagitis ee for up to 8 weeksmaintenance of healed erosive esophagitis dexlansoprazole is indicated to maintain healing of ee and relief of heartburn  read morehealing of erosive esophagitis dexlansoprazole is indicated for the healing of all grades of erosive esophagitis ee for up to 8 weeksmaintenance of healed erosive esophagitis dexlansoprazole is indicated to maintain healing of ee and relief of heartburn for up to 6 monthssymptomatic nonerosive gastroesophageal reflux disease dexlansoprazole is indicated for the treatment of heartburn associated with symptomatic nonerosive gastroesophageal reflux disease gerd for 4 weeks,"dexlansoprazole dosing recommendations

maintenance of healed erosive esophagitis and relief of heartburn 30 mg once daily
symptomatic nonerosive gerd 30 mg once daily for 4 weeks
healing of erosive esophagitis 60 mg once daily for up to 8 weeks
",common side effects diarrhea abdominal pain nausea vomiting  flatulence,there have been no reports of a significant overdose of dexlansoprazole multiple doses of dexlansoprazole 120 mg and a single dose of dexlansoprazole 300 mg did not result in death or other severe adverse events,store below 30c temperature  in a dry place protected from light keep all medicines out of reach of children,['oesophagitis healing erosive esophagitis dexlansoprazole indicated healing grade erosive esophagitis ee 8 weeksmaintenance healed erosive esophagitis dexlansoprazole indicated maintain healing ee relief heartburn read morehealing erosive esophagitis dexlansoprazole indicated healing grade erosive esophagitis ee 8 weeksmaintenance healed erosive esophagitis dexlansoprazole indicated maintain healing ee relief heartburn 6 monthssymptomatic nonerosive gastroesophageal reflux disease dexlansoprazole indicated treatment heartburn associated symptomatic nonerosive gastroesophageal reflux disease gerd 4 week']
343,Dexketoprofen,dexketoprofen-343,https://medex.com.bd/attachments/i4QJewqooXLwxhkycHs5FrVluYga2T/dexketoprofen-prescribing-information,Drugs for Osteoarthritis,Rheumatic disorders,symptomatic treatment of pain and inflammation of mild or moderate intensity such as musculoskeletal pain menstrual pain  dental pain,the dose of dexketoprofen 25 mg tablets depends on the type severity and duration of pain the recommended dose is generally 1 tablet every 8 hours with no more than 3 tablets daily the elderly and patients with renal or hepatic impairment should start treatment with a total daily dose of no more than 2 tablets normally it is recommended to take the tablets with food in the case of acute pain it is recommended that tablets be taken at least 30 minutes before meals dexketoprofen is not recommended for children,"as with all medicines dexketoprofen 25 mg tablets may cause some unwanted effects in some patients these are described below and are characteristic of nonsteroidal antiinflammatory drugs 

common 110 nausea vomiting diarrhoea stomach pain or heartburn
uncommon 011 sleep disorders nervousness headache dizziness vertigo palpitations constipation dry mouth flatulence skin rash fatigue hot flushes shivering general malaise
rare 001 01 stomach ulceration gastric haemorrhage or perforation pins and needles high blood pressure water retention slowed breathing rate hepatic enzymes increased increased sweating
very rareisolated cases 001 blurred vision ringing in the ear low blood pressure haematological reactions hepatic or renal damage dermatological and photosensitivity reactions bronchospasm or anaphylaxis
in patients with systemic lupus erythematosus or mixed connective tissue disease antiinflammatory medicines may rarely cause isolated cases of fever headache and rigidity of the nape back of the neck
",not available,store at a cool  dry place protected from light and moisture keep out of reach of children,['rheumatic disorder symptomatic treatment pain inflammation mild moderate intensity musculoskeletal pain menstrual pain dental pain']
